Date,Artist,Album,New to me?,Comments,Playlist,Listen Again
2021-07-28,Nubya Garcia,SOURCE,TRUE,Mercury Prize,TRUE,
2021-07-29,Wolf Alice,Blue Weekend,TRUE,Mercury Prize,TRUE,
2021-07-30,LUMP,Animal,TRUE,,TRUE,
2021-07-31,Dream Wife,So When You Gonna…,TRUE,,TRUE,
2021-08-01,Dora Jar,Digital Meadow,TRUE,,TRUE,
2021-08-02,Porridge Radio,Every Bad,TRUE,,TRUE,
2021-08-03,White Denim,Crystal Bullets b/w King Tears,TRUE,,TRUE,
2021-08-04,Hélène Barbier,Regulus,TRUE,,TRUE,
2021-08-05,MIKE,Disco!,TRUE,,TRUE,
2021-08-06,Cavern Deep,Cavern Deep,TRUE,,TRUE,
2021-08-07,Dean Blunt,Black Metal 2,TRUE,,TRUE,
2021-08-08,Pom Pom Squad,Death of a Cheerleader,TRUE,,TRUE,
2021-08-09,Aesop Rock,Appleseed,TRUE,,TRUE,
2021-08-10,Mr Jukes / Barney Artist,The Locket,TRUE,,TRUE,
2021-08-11,Sedibus,The Heavens,TRUE,,TRUE,
2021-08-12,Big Lad,Pro Rock,TRUE,,TRUE,
2021-08-13,Nova Twins,Who Are The Girls?,TRUE,,TRUE,
2021-08-14,Birds Of Maya,Valdez,TRUE,,TRUE,
2021-08-15,Tamar Aphek,All Bets Are Off,TRUE,,TRUE,
2021-08-16,Deerhoof,Love-Lore,TRUE,,TRUE,
2021-08-17,Jungle,Loving In Stereo,TRUE,,TRUE,
2021-08-18,Oscar Lang,Chew The Scenery,TRUE,,TRUE,
2021-08-19,Joy Orbison,Still Slipping Vol. 1,TRUE,,TRUE,
2021-08-20,Sturgill Simpson,The Ballad of Dood & Juanita,TRUE,,TRUE,
2021-08-21,Galliano,In Pursuit Of The 13th Note,FALSE,,TRUE,
2021-08-22,Orla Gartland,Woman On The Internet,TRUE,,TRUE,
2021-08-23,King Buffalo,The Burden Of Restlessness,TRUE,,TRUE,
2021-08-24,Sally Decker,In the Tender Dream,TRUE,,TRUE,
2021-08-25,International Teachers Of Pop,International Teachers Of Pop,FALSE,First gig back at the Trades!,TRUE,
2021-08-26,International Teachers Of Pop,Pop Gossip,TRUE,,TRUE,
2021-08-27,The Anchoress,Confessions Of A Romance Novelist,TRUE,,TRUE,
2021-08-28,Lord Huron,Long Lost,TRUE,,TRUE,
2021-08-29,Tired Lion,Breakfast For Pathetics,TRUE,,TRUE,
2021-08-30,Damiana,Vines,TRUE,,TRUE,
2021-08-31,The Stranglers,Black and White,FALSE,,TRUE,
2021-09-01,The Upsetters,Super Ape,FALSE,,TRUE,
2021-09-02,Superstate,Superstate,TRUE,,TRUE,
2021-09-03,"F.S. Blumm, Nils Frahm",2X1=4,TRUE,,TRUE,
2021-09-04,Richard Hawley,Further,TRUE,Gig at Piece Hall,TRUE,
2021-09-05,Richard Hawley,Standing At The Sky's Edge,FALSE,,TRUE,
2021-09-06,Torres,Thirstier,TRUE,,TRUE,
2021-09-07,The Telescopes,Songs Of Love And Revolution,TRUE,,TRUE,
2021-09-08,Whipping Boy,Heartworm,TRUE,,TRUE,
2021-09-09,The Orielles,La Vita Olistica,TRUE,,TRUE,
2021-09-10,Low,Hey What,TRUE,,TRUE,TRUE
2021-09-11,David Bowie,Lodger,FALSE,,TRUE,
2021-09-12,John Grant,Boy From Michigan,TRUE,,TRUE,
2021-09-13,Sleigh Bells,Texis,TRUE,,TRUE,
2021-09-14,Bad Waitress,No Taste,TRUE,,TRUE,
2021-09-15,Body Meta,The Work Is Slow,TRUE,,TRUE,
2021-09-16,Sol Seppy,The Bells Of 1 2,FALSE,,TRUE,
2021-09-17,At The Drive In,Relationship Of Command,TRUE,,TRUE,
2021-09-18,Billie Marten,Flora and Fauna,TRUE,,TRUE,
2021-09-19,Dahveed Behroozi,Echos,TRUE,,TRUE,
2021-09-20,Hen Ogledd,Free Humans,FALSE,,TRUE,
2021-09-21,William Doyle,Great Spans Of Muddy Time,TRUE,,TRUE,
2021-09-22,Saint Etienne,I've been trying to tell you,TRUE,,TRUE,
2021-09-23,Richard Dawson,2020,FALSE,,TRUE,
2021-09-24,The Muslims,Fuck These Fuckin Fascists,TRUE,,TRUE,
2021-09-25,Sleater-Kinney,Path of Wellness,TRUE,,TRUE,
2021-09-26,Amyl And The Sniffer,Comfort To Me,TRUE,,TRUE,
2021-09-27,Converge,Jane Doe,TRUE,,TRUE,
2021-09-28,Mdou Moctar,Afrique Victime,TRUE,,TRUE,
2021-09-29,Between The Buried And Me,Colours II,TRUE,,TRUE,
2021-09-30,Buck Gooter,Head In A Bird Cage,TRUE,,TRUE,
2021-10-01,Domingæ,Æ,TRUE,,TRUE,
2021-10-02,Man on Man,Man on Man,TRUE,,TRUE,
2021-10-03,Carcass,Torn Arteries,TRUE,,TRUE,
2021-10-04,Liz Lawrence,The Avalanche,TRUE,,TRUE,
2021-10-05,Interpol,Turn On The Bright Lights,FALSE,,TRUE,
2021-10-06,Churches,Screen Violence,TRUE,,TRUE,
2021-10-07,Pamela Z,A Secret Code,TRUE,,TRUE,
2021-10-08,John,Nocturnal Manoeuvres,TRUE,,TRUE,
2021-10-09,"Shire T, Marabou State",Tomorrow's People,TRUE,,TRUE,
2021-10-10,Bob Vylan,We Live Here,TRUE,,TRUE,
2021-10-11,Halsey,"If I Can't Have Love, I Want Power",TRUE,,TRUE,
2021-10-12,Little Simz,Sometimes I Might Be Introvert,TRUE,,TRUE,
2021-10-13,The Armed,Only Love,TRUE,,TRUE,
2021-10-14,Badbadnotgood,Talk Memory,TRUE,,TRUE,
